George,WA,47.0807166,-119.85709
Carbonado,WA,47.0797219,-122.0514334
Olympia,WA,47.0450197,-122.8948724
McCleary,WA,47.053151,-123.2654307
Montesano,WA,46.9812063,-123.6026628
Tumwater,WA,47.0077652,-122.9110784
Ellensburg,WA,46.9970635,-120.5451222
Hoquiam,WA,46.9809291,-123.8893351
Garfield,WA,46.4604687,-117.5294768
Elma,WA,54.169538,20.6065984
Ocean Shores,WA,46.9737027,-124.1562771
Roy,WA,47.0042643,-122.5398459
Aberdeen,WA,46.9753708,-123.8157217
Kittitas,WA,47.1057471,-120.5849304
Warden,WA,46.9675537,-119.0395657
Lind,WA,46.9720892,-118.6152652
Cosmopolis,WA,46.955372,-123.7737762
Yelm,WA,46.9413877,-122.6063901
Endicott,WA,46.9257176,-117.6829806
Palouse,WA,46.9101058,-117.0753057
Westport,WA,46.8897894,-124.1104187
Royal City,WA,46.9009701,-119.6305911
Colfax,WA,46.8801655,-117.3643494
Rainier,WA,46.8909377,-122.6896215
Eatonville,WA,46.8682516,-122.270068
Tenino,WA,46.8567408,-122.8502932
Othello,WA,46.8259742,-119.1752912
Oakville,WA,46.8401595,-123.2326501
La Crosse,WA,46.8140449,-117.8818833
Bucoda,WA,46.7977206,-122.8684554
Albion,WA,42.1124866,-92.9885338
Hatton,WA,46.7759744,-118.826388
Washtucna,WA,46.7565354,-118.3105281
Centralia,WA,46.7204489,-122.9614302
Pullman,WA,46.7304268,-117.1738949
Mattawa,WA,46.7379045,-119.9028227
Naches,WA,46.730958,-120.6995159
Tieton,WA,46.7020686,-120.7553503
Connell,WA,46.6634733,-118.8611116
Raymond,WA,46.6864843,-123.7329468
Chehalis,WA,46.6599653,-122.9634321
South Bend,WA,46.6631514,-123.8046068
Selah,WA,46.6540065,-120.5302726
Kahlotus,WA,46.643528,-118.5539772
Yakima,WA,46.601557,-120.510842
Napavine,WA,46.5795176,-122.911188
Mesa,WA,46.5762498,-119.0066732
Pe Ell,WA,46.571414,-123.2968441
Union Gap,WA,46.5573492,-120.4750637
Moxee,WA,46.563685,-120.3956739
Colton,WA,46.5678598,-117.1283286
Morton,WA,39.9098345,-75.3235214
Uniontown,WA,39.900076,-79.7164325
Mossyrock,WA,46.529843,-122.484272
Starbuck,WA,46.5195882,-118.1288449
Winlock,WA,46.4924025,-122.9388354
Pomeroy,WA,42.5510885,-94.6838686
Wapato,WA,46.4476278,-120.4203381
Toledo,WA,41.9958519,-92.5790516
Clarkston,WA,46.4162724,-117.045158
Zillah,WA,46.4020734,-120.2619987
Vader,WA,46.4014233,-122.9580933
Harrah,WA,46.4042937,-120.5442303
Toppenish,WA,46.3775015,-120.3089382
Long Beach,WA,46.3523196,-124.0543312
Richland,WA,46.2778406,-119.2769066
West Richland,WA,46.3043015,-119.3614091
Granger,WA,41.7610984,-93.8243924
Asotin,WA,46.1678079,-117.2045178
Sunnyside,WA,46.3246419,-120.0081897
Dayton,WA,46.323559,-117.9725378
Ilwaco,WA,46.3090364,-124.0436642
Prescott,WA,41.0230428,-94.6135794
Pasco,WA,46.2395793,-119.1005656
Castle Rock,WA,46.5887699,-117.3565653
Benton City,WA,46.2631897,-119.4878019
Grandview,WA,46.2509653,-119.9017048
Waitsburg,WA,46.2704176,-118.153286
Kennewick,WA,46.2112458,-119.1372337
Prosser,WA,46.2067997,-119.7689221
Mabton,WA,46.2148475,-119.9967079
Cathlamet,WA,46.2031673,-123.3831892
Longview,WA,46.1427302,-122.9556409
Kelso,WA,46.1420334,-122.9060317
Walla Walla,WA,46.0649999,-118.3302783
College Place,WA,46.0491763,-118.3880416
Kalama,WA,46.0085225,-122.8424708
Woodland,WA,45.9109715,-122.7408325
La Center,WA,45.8638734,-122.668577
Yacolt,WA,45.8655044,-122.4070313
Goldendale,WA,45.8206794,-120.8217311
Ridgefield,WA,45.8167616,-122.7433774
Battle Ground,WA,45.7813532,-122.5337432
White Salmon,WA,45.7276194,-121.4864618
Bingen,WA,45.7148416,-121.4645172
Stevenson,WA,45.6954173,-121.8847246
Vancouver,WA,45.6306954,-122.6744556
North Bonneville,WA,45.6373393,-121.9711933
Camas,WA,45.5911103,-122.4122247
Washougal,WA,45.5819594,-122.347992
Snoqualmie,WA,47.5332072,-121.8434934
Oak Harbor,WA,48.2931559,-122.6432244
Tacoma,WA,47.2495798,-122.4398745
place,state,latitude,longitude
place,state,latitude,longitude
